Nome,Tipo,Categoria,Contato,WhatsApp,Email,Instagram,Website,Cidade,Porto Ref,Status,Notas
Tombo Surf School,Escola de Surf,surf,@tombosurf,(11) 99208-4300,,@tombosurf,,Guarujá,Pitangueiras,pendente,"Escola de surfing clássica da região do Tombo, forte presença local"
Guarujá Escola de Surf,Escola de Surf,surf,@guarujasaescoladesurf,,,,,Guarujá,Pitangueiras,pendente,"Escola de surf com aulas e cursos"
Praia Moleque Surf School,Escola de Surf,surf,,(11) 98104-6680,,,,Guarujá,Iporanga,pendente,"Escola de surf na Praia do Moleque"
Barracuda Surf School,Escola de Surf,surf,,,,,,Guarujá,Pernambuco,pendente,"Escola de surf na região sul"
Escola de Surf Ondas Vivas,Escola de Surf,surf,,(11) 99707-2880,,,,Guarujá,,pendente,"Escola de surf"
Santa Helena Pousada,Pousada,hospedagem,,,contato@santahelenaguaruja.com.br,@pousadasantahelena,https://santahelenaguaruja.com.br,Guarujá,Pitangueiras,pendente,"Pousada popular, skyline Airbnb + Booking"
Pousada Maré Enseada,Pousada,hospedagem,,(11) 99397-4172,,@mareenseadaguaruja,https://mareenseadaguaruja.com.br,Guarujá,Enseada,pendente,"Bem avaliada no Google Maps, Instagram ativo"
Pousada Morro do Maluf,Pousada,hospedagem,,(11) 99792-3820,,,,Guarujá,Pitangueiras,pendente,"Próxima ao Tombo, pousada clássica"
Pousada Posada di Giorgio,Pousada,hospedagem,,,contato@posadadigiorgio.com.br,,https://posadadigiorgio.com.br,Guarujá,,pendente,"Pousada europeia, site institucional"
Pousada Waya Beach,Pousada,hospedagem,,(11) 99158-2824,,@wayabeach,https://wayabeach.com.br,Guarujá,Praia Branca,pendente,"Alta temporada, Instagram ativo"
Pousada Recanto da Lagoa,Pousada,hospedagem,,(11) 99781-5886,,@pousadarecantodalagoaguaruja,,Guarujá,Enseada,pendente,"Praia da Lagoa, reservas WhatsApp"
Escuna Guarujá,Passeio de Barco,escuna,,(11) 99769-4695,,@escunaguaruja,,Guarujá,Ponte do Galeão,pendente,"Passeio de escuna clássico, Instagram"
Passeio de Lancha Yolo,Passeio de Lancha,lancha,,(11) 94204-6834,,@passeiodelanchayolo,https://passeiodelanchayolo.com,Guarujá,Astúrias,pendente,"16k followers, Cadastur, Marina Pier 26"
Passeio de Lancha no Guarujá,Passeio de Lancha,lancha,,(11) 96368-5458,,@passeiodelanchanoguaruja,https://passeiodelanchanoguaruja.com.br,Guarujá,Astúrias,pendente,"Líder em locação, operação desde 2018"
Barretos Aluguel e Passeios de Lancha,Passeio de Lancha,lancha,,,contato@barretoslanchaguaruja.com.br,@barretosguaruja,https://barretoslanchaguaruja.com.br,Guarujá,Enseada,pendente,"Referência na Enseada, experiências românticas"
Marina Aguá Marina,Marina,marina,,(11) 4109-3939,,@aguamarinaguaruja,,Guarujá,,pendente,"Marina com estrutura completa"
Turismo Náutico,Turismo Náutico,nautico,,(11) 94192-4523,,@turismonautico_guaruja,https://turismonauticorl.com.br,Guarujá,,pendente,"Pier, passeios, jet ski,Cadastur"
Cachalote Marisquia,Restaurante,restaurante,,(11) 99897-9291,,@cachalote.marisquia,,Guarujá,Pitangueiras,pendente,"Frutos do mar na beira-mar"
Ristorante La Noce,Restaurante,restaurante,,(11) 3256-8451,,@ristorantelanoce,https://ristorantelanoce.com.br,Guarujá,Pitangueiras,pendente,"Italiano premium, delivery"
La Pasta Gourmet,Restaurante,restaurante,,(11) 99766-4896,,@lapastagourmet,https://lapastagourmet.com.br,Guarujá,,pendente,"Massas artesanais, delivery"
